ID,Resume_str,Resume_html,Category
10000001,"         APPLICATION DEVELOPER

APPLICATION DEVELOPER

Summary

Detail-oriented Application Developer with a strong foundation in programming and application development, seeking to leverage technical skills in a challenging software role.

Highlights

  Linux
  Python
  C++
  SQL
  Git
  HTML/CSS

Accomplishments

  Recognized for outstanding performance during a 2-month internship at Genpact.
  Completed a live project on inventory management system as part of the final semester curriculum.
  Completed a live project on online examination portal as part of the final semester curriculum.
  Successfully led a team of 3 students in a group project on online examination portal.

Experience

Software Engineer Trainee
Genpact -- 2019
Worked on tasks involving SQL, Agile Methodology, HTML/CSS. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
Christ University, School of Computer Science, 2025
Aggregate: 81.19%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Application Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Detail-oriented Application Developer with a strong foundation in programming and application development, seeking to leverage technical skills in a challenging software role.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Linux</li><li>Python</li><li>C++</li><li>SQL</li><li>Git</li><li>HTML/CSS</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 2-month internship at Genpact.</li><li>Completed a live project on inventory management system as part of the final semester curriculum.</li><li>Completed a live project on online examination portal as part of the final semester curriculum.</li><li>Successfully led a team of 3 students in a group project on online examination portal.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Software Engineer Trainee<br>Genpact -- 2019<br>Worked on tasks involving SQL, Agile Methodology, HTML/CSS. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>Christ University, School of Computer Science, 2025<br>Aggregate: 81.19%</p></div></div></div>",MCA
10000002,"         AUDIT ASSISTANT

Summary

Diligent commerce graduate skilled in GST Filing, Payroll Processing and SAP FICO Basics, committed to accuracy and timely financial reporting.

Highlights

  GST Filing
  Payroll Processing
  SAP FICO Basics
  Financial Statement Analysis
  Cost Accounting
  Tally ERP 9
  Financial Accounting

Accomplishments

  Successfully led a team of 5 students in a group project on audit of financial statements.
  Awarded 'Best Presentation' for a case study on ratio analysis of listed companies.
  Secured a certificate of merit for academic excellence in working capital management.
  Successfully led a team of 5 students in a group project on audit of financial statements.

Experience

Junior Accountant
Zomato -- 2021
Worked on tasks involving Income Tax Returns, Taxation, MS Excel. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 8 months of practical exposure to the BCOM domain.

Education

Bachelor of Commerce (B.Com)
Christ University, B.Com Program, 2022
Aggregate: 59.33%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Audit Assistant</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Diligent commerce graduate skilled in GST Filing, Payroll Processing and SAP FICO Basics, committed to accuracy and timely financial reporting.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>GST Filing</li><li>Payroll Processing</li><li>SAP FICO Basics</li><li>Financial Statement Analysis</li><li>Cost Accounting</li><li>Tally ERP 9</li><li>Financial Accounting</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 5 students in a group project on audit of financial statements.</li><li>Awarded 'Best Presentation' for a case study on ratio analysis of listed companies.</li><li>Secured a certificate of merit for academic excellence in working capital management.</li><li>Successfully led a team of 5 students in a group project on audit of financial statements.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Junior Accountant<br>Zomato -- 2021<br>Worked on tasks involving Income Tax Returns, Taxation, MS Excel. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 8 months of practical exposure to the BCOM domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Commerce (B.Com)<br>Christ University, B.Com Program, 2022<br>Aggregate: 59.33%</p></div></div></div>",BCOM
10000003,"         BUSINESS DEVELOPMENT EXECUTIVE

Summary

Result-driven MBA graduate specializing in Marketing, with strong analytical and leadership skills developed through internships and live projects.

Highlights

  Budgeting & Forecasting
  Stakeholder Management
  Negotiation
  Client Relationship Management
  Business Analytics
  CRM Tools (Salesforce)
  SEO/SEM

Accomplishments

  Actively participated in college-level workshops and seminars related to market entry strategy for FMCG brands.
  Secured a certificate of merit for academic excellence in supply chain optimization.
  Secured a certificate of merit for academic excellence in digital marketing campaign performance.

Experience

Product Manager
TCS -- 2019
Worked on tasks involving Digital Marketing, Stakeholder Management, Team Leadership. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 12 months of practical exposure to the MBA domain.

Education

Master of Business Administration (MBA) - Specialisation: Marketing
IBS Business School, 2022
Aggregate: 89.17%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Business Development Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Result-driven MBA graduate specializing in Marketing, with strong analytical and leadership skills developed through internships and live projects.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Budgeting & Forecasting</li><li>Stakeholder Management</li><li>Negotiation</li><li>Client Relationship Management</li><li>Business Analytics</li><li>CRM Tools (Salesforce)</li><li>SEO/SEM</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Actively participated in college-level workshops and seminars related to market entry strategy for FMCG brands.</li><li>Secured a certificate of merit for academic excellence in supply chain optimization.</li><li>Secured a certificate of merit for academic excellence in digital marketing campaign performance.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Product Manager<br>TCS -- 2019<br>Worked on tasks involving Digital Marketing, Stakeholder Management, Team Leadership. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 12 months of practical exposure to the MBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Marketing<br>IBS Business School, 2022<br>Aggregate: 89.17%</p></div></div></div>",MBA
10000004,"         BANK PROBATIONARY OFFICER

Summary

Organized Bank Probationary Officer with a strong understanding of accounting principles and hands-on exposure to Payroll Processing.

Highlights

  Payroll Processing
  Bookkeeping
  MS Excel
  Bank Reconciliation
  Financial Statement Analysis
  Invoicing
  SAP FICO Basics
  Taxation

Accomplishments

  Recognized for outstanding performance during a 2-month internship at Capgemini.
  Recognized for outstanding performance during a 2-month internship at Byju's.
  Awarded 'Best Presentation' for a case study on ratio analysis of listed companies.

Experience

Payroll Executive
Flipkart -- 2019
Worked on tasks involving Cost Accounting, Busy Accounting Software, Invoicing. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 19 months of practical exposure to the BCOM domain.

Accounts Executive
Cognizant -- 2024
Worked on tasks involving Income Tax Returns, Payroll Processing, Bank Reconciliation. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 24 months of practical exposure to the BCOM domain.

Education

Bachelor of Commerce (B.Com)
Christ University, B.Com Program, 2022
Aggregate: 71.4%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Bank Probationary Officer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Organized Bank Probationary Officer with a strong understanding of accounting principles and hands-on exposure to Payroll Processing.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Payroll Processing</li><li>Bookkeeping</li><li>MS Excel</li><li>Bank Reconciliation</li><li>Financial Statement Analysis</li><li>Invoicing</li><li>SAP FICO Basics</li><li>Taxation</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 2-month internship at Capgemini.</li><li>Recognized for outstanding performance during a 2-month internship at Byju's.</li><li>Awarded 'Best Presentation' for a case study on ratio analysis of listed companies.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Payroll Executive<br>Flipkart -- 2019<br>Worked on tasks involving Cost Accounting, Busy Accounting Software, Invoicing. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 19 months of practical exposure to the BCOM domain.<br><br>Accounts Executive<br>Cognizant -- 2024<br>Worked on tasks involving Income Tax Returns, Payroll Processing, Bank Reconciliation. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 24 months of practical exposure to the BCOM domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Commerce (B.Com)<br>Christ University, B.Com Program, 2022<br>Aggregate: 71.4%</p></div></div></div>",BCOM
10000005,"         MANAGEMENT TRAINEE

Summary

Proactive Management Trainee with strong communication skills and internship exposure in Communication Skills.

Highlights

  Communication Skills
  Sales Strategy
  Event Management
  Market Research
  Presentation Skills
  Customer Service

Accomplishments

  Completed a live project on brand positioning strategy as part of the final semester curriculum.
  Awarded 'Best Presentation' for a case study on sales forecasting.

Education

Bachelor of Business Administration (BBA)
Jain University, 2024
Aggregate: 66.58%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Management Trainee</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Proactive Management Trainee with strong communication skills and internship exposure in Communication Skills.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Communication Skills</li><li>Sales Strategy</li><li>Event Management</li><li>Market Research</li><li>Presentation Skills</li><li>Customer Service</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on brand positioning strategy as part of the final semester curriculum.</li><li>Awarded 'Best Presentation' for a case study on sales forecasting.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>Jain University, 2024<br>Aggregate: 66.58%</p></div></div></div>",BBA
10000006,"         DATABASE ASSISTANT

Summary

Diligent computer applications graduate proficient in PHP, JavaScript and Software Testing, eager to apply academic knowledge in a real-world IT role.

Highlights

  PHP
  JavaScript
  Software Testing
  Operating Systems
  Bootstrap

Accomplishments

  Completed a live project on library management system as part of the final semester curriculum.
  Secured a certificate of merit for academic excellence in responsive portfolio website.
  Successfully led a team of 4 students in a group project on student database management system.

Experience

Junior Software Developer
Startup (Fintech) -- 2022
Worked on tasks involving HTML/CSS, WordPress, JavaScript. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 12 months of practical exposure to the BCA domain.

Software Tester
Zomato -- 2020
Worked on tasks involving WordPress, Bootstrap, PHP. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 8 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
Government First Grade College, 2023
Aggregate: 84.49%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Database Assistant</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Diligent computer applications graduate proficient in PHP, JavaScript and Software Testing, eager to apply academic knowledge in a real-world IT role.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>PHP</li><li>JavaScript</li><li>Software Testing</li><li>Operating Systems</li><li>Bootstrap</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Completed a live project on library management system as part of the final semester curriculum.</li><li>Secured a certificate of merit for academic excellence in responsive portfolio website.</li><li>Successfully led a team of 4 students in a group project on student database management system.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Junior Software Developer<br>Startup (Fintech) -- 2022<br>Worked on tasks involving HTML/CSS, WordPress, JavaScript. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 12 months of practical exposure to the BCA domain.<br><br>Software Tester<br>Zomato -- 2020<br>Worked on tasks involving WordPress, Bootstrap, PHP. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 8 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>Government First Grade College, 2023<br>Aggregate: 84.49%</p></div></div></div>",BCA
10000007,"         APPLICATION SUPPORT EXECUTIVE

Summary

Tech-savvy Application Support Executive with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.

Highlights

  Software Testing
  JavaScript
  MS Office
  WordPress
  PHP
  Bootstrap

Accomplishments

  Awarded 'Best Presentation' for a case study on student database management system.
  Actively participated in college-level workshops and seminars related to responsive portfolio website.
  Actively participated in college-level workshops and seminars related to responsive portfolio website.

Experience

Technical Support Executive
Flipkart -- 2019
Worked on tasks involving C Programming, Software Testing, Git. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 18 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
Jain University, 2025
Aggregate: 79.87%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Application Support Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Tech-savvy Application Support Executive with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Software Testing</li><li>JavaScript</li><li>MS Office</li><li>WordPress</li><li>PHP</li><li>Bootstrap</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on student database management system.</li><li>Actively participated in college-level workshops and seminars related to responsive portfolio website.</li><li>Actively participated in college-level workshops and seminars related to responsive portfolio website.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Technical Support Executive<br>Flipkart -- 2019<br>Worked on tasks involving C Programming, Software Testing, Git. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 18 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>Jain University, 2025<br>Aggregate: 79.87%</p></div></div></div>",BCA
10000008,"         BACKEND DEVELOPER

BACKEND DEVELOPER

Summary

Enthusiastic Backend Developer skilled in MongoDB, DBMS and Cloud Computing (AWS/Azure), with a passion for building efficient, scalable software solutions.

Highlights

  MongoDB
  DBMS
  Cloud Computing (AWS/Azure)
  JavaScript
  C++
  Linux

Accomplishments

  Actively participated in college-level workshops and seminars related to hospital management system.
  Recognized for outstanding performance during a 2-month internship at HCL Technologies.
  Secured a certificate of merit for academic excellence in inventory management system.

Education

Master of Computer Applications (MCA)
BMS Institute of Technology, 2020
Aggregate: 76.65%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Backend Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic Backend Developer skilled in MongoDB, DBMS and Cloud Computing (AWS/Azure), with a passion for building efficient, scalable software solutions.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>MongoDB</li><li>DBMS</li><li>Cloud Computing (AWS/Azure)</li><li>JavaScript</li><li>C++</li><li>Linux</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Actively participated in college-level workshops and seminars related to hospital management system.</li><li>Recognized for outstanding performance during a 2-month internship at HCL Technologies.</li><li>Secured a certificate of merit for academic excellence in inventory management system.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>BMS Institute of Technology, 2020<br>Aggregate: 76.65%</p></div></div></div>",MCA
10000009,"         HR EXECUTIVE

Summary

Ambitious HR Executive with expertise in Presentation Skills and Six Sigma Basics, focused on driving business growth and delivering measurable results.

Highlights

  Presentation Skills
  Six Sigma Basics
  Team Leadership
  SEO/SEM
  Strategic Planning
  Digital Marketing

Accomplishments

  Recognized for outstanding performance during a 4-month internship at Reliance Retail.
  Recognized for outstanding performance during a 4-month internship at Cognizant.
  Successfully led a team of 2 students in a group project on consumer behaviour analysis.
  Actively participated in college-level workshops and seminars related to consumer behaviour analysis.

Experience

Business Development Executive
ABC Retail Pvt Ltd -- 2018
Worked on tasks involving Market Research, Negotiation, Budgeting & Forecasting. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MBA domain.

Education

Master of Business Administration (MBA) - Specialisation: Finance
Department of Management Studies, State University, 2023
Aggregate: 76.89%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">HR Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Ambitious HR Executive with expertise in Presentation Skills and Six Sigma Basics, focused on driving business growth and delivering measurable results.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Presentation Skills</li><li>Six Sigma Basics</li><li>Team Leadership</li><li>SEO/SEM</li><li>Strategic Planning</li><li>Digital Marketing</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 4-month internship at Reliance Retail.</li><li>Recognized for outstanding performance during a 4-month internship at Cognizant.</li><li>Successfully led a team of 2 students in a group project on consumer behaviour analysis.</li><li>Actively participated in college-level workshops and seminars related to consumer behaviour analysis.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Business Development Executive<br>ABC Retail Pvt Ltd -- 2018<br>Worked on tasks involving Market Research, Negotiation, Budgeting & Forecasting. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Finance<br>Department of Management Studies, State University, 2023<br>Aggregate: 76.89%</p></div></div></div>",MBA
10000010,"         COMPUTER OPERATOR

COMPUTER OPERATOR

Summary

Tech-savvy Computer Operator with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.

Highlights

  Software Testing
  PHP
  MySQL
  C Programming
  Java

Accomplishments

  Successfully led a team of 4 students in a group project on student database management system.
  Successfully led a team of 3 students in a group project on attendance tracking app.
  Secured a certificate of merit for academic excellence in responsive portfolio website.

Experience

Computer Operator
Reliance Retail -- 2022
Worked on tasks involving Operating Systems, HTML/CSS, MS Office. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 9 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
St. Joseph's College of Commerce, 2022
Aggregate: 73.03%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Computer Operator</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Tech-savvy Computer Operator with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Software Testing</li><li>PHP</li><li>MySQL</li><li>C Programming</li><li>Java</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 4 students in a group project on student database management system.</li><li>Successfully led a team of 3 students in a group project on attendance tracking app.</li><li>Secured a certificate of merit for academic excellence in responsive portfolio website.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Computer Operator<br>Reliance Retail -- 2022<br>Worked on tasks involving Operating Systems, HTML/CSS, MS Office. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 9 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>St. Joseph's College of Commerce, 2022<br>Aggregate: 73.03%</p></div></div></div>",BCA
